page_id,title,fullurl,categories
21608, Adamant Fury, https://warhammer40k.fandom.com/wiki/Adamant_Fury ,"[""A"", ""Traitor Titan Legions"", ""Chaos"", ""Walkers"", ""Chaos Walkers"", ""Dark Mechanicus""]"
23014, Acuitor Mech-Assassin, https://warhammer40k.fandom.com/wiki/Acuitor_Mech-Assassin ,"[""A"", ""Adeptus Mechanicus"", ""Calixis Sector"", ""Imperium""]"
25138, 'Ardboy, https://warhammer40k.fandom.com/wiki/%27Ardboy ,"[""A"", ""Ork"", ""Ork Boyz""]"
25493, Abdemon, https://warhammer40k.fandom.com/wiki/Abdemon ,"[""A"", ""Characters"", ""Emperor's Children"", ""History"", ""Imperial Characters"", ""Imperial History"", ""Imperium"", ""Space Marines""]"
25718, Accursed Crozius, https://warhammer40k.fandom.com/wiki/Accursed_Crozius ,"[""A"", ""Chaos"", ""Daemons"", ""Chaos Weapons"", ""Chaos Space Marines"", ""Weapons"", ""Word Bearers""]"
26256, Stonetooth Harker, https://warhammer40k.fandom.com/wiki/%27Stonetooth%27_Harker ,"[""S"", ""H"", ""Characters"", ""Imperial Characters"", ""Imperial Guard"", ""Imperium""]"
28891, 13th/5th Imperial Army, https://warhammer40k.fandom.com/wiki/13th/5th_Imperial_Army ,"[""H"", ""History"", ""Imperial Army"", ""Imperial Army Regiments"", ""Imperial History"", ""Imperium""]"
32188, Abyssal Staff, https://warhammer40k.fandom.com/wiki/Abyssal_Staff ,"[""A"", ""Necron"", ""Necron Weapons"", ""Weapons"", ""Necron Technology""]"
32287, Abyss-class Battleship, https://warhammer40k.fandom.com/wiki/Abyss-class_Battleship ,"[""A"", ""Battleships"", ""Chaos"", ""Chaos Space Marines"", ""Chaos Spacecraft"", ""Spacecraft"", ""Word Bearers""]"
40010, 1st Black Crusade, https://warhammer40k.fandom.com/wiki/1st_Black_Crusade ,"[""B"", ""Black Legion"", ""Campaigns"", ""Chaos"", ""Chaos Campaigns"", ""Chaos Space Marines"", ""Daemons"", ""History"", ""Imperial Guard"", ""Imperial History"", ""Imperial Navy"", ""Space Marines"", ""Black Crusade"", ""Imperial Campaigns""]"
40630, 2nd Black Crusade, https://warhammer40k.fandom.com/wiki/2nd_Black_Crusade ,"[""B"", ""Black Legion"", ""Campaigns"", ""Chaos Campaigns"", ""Chaos Space Marines"", ""History"", ""Imperial History"", ""Imperial Navy"", ""Inquisition"", ""Daemons"", ""Black Crusade"", ""Imperial Campaigns""]"
40691, 3rd Black Crusade, https://warhammer40k.fandom.com/wiki/3rd_Black_Crusade ,"[""B"", ""Black Legion"", ""Chaos"", ""Chaos Campaigns"", ""Chaos Space Marines"", ""History"", ""Imperial History"", ""Daemons"", ""Black Crusade"", ""Campaigns"", ""Imperial Campaigns""]"
40692, 4th Black Crusade, https://warhammer40k.fandom.com/wiki/4th_Black_Crusade ,"[""B"", ""Black Legion"", ""Chaos"", ""Chaos Campaigns"", ""Chaos Space Marines"", ""History"", ""Imperial History"", ""Daemons"", ""Black Crusade"", ""Campaigns"", ""Imperial Campaigns"", ""Imperial Guard""]"
40693, 5th Black Crusade, https://warhammer40k.fandom.com/wiki/5th_Black_Crusade ,"[""B"", ""Black Legion"", ""Chaos"", ""Chaos Campaigns"", ""Chaos Space Marines"", ""Daemons"", ""History"", ""Imperial History"", ""Black Crusade"", ""Campaigns"", ""Imperial Campaigns"", ""Space Marines"", ""Imperial Guard"", ""Imperial Navy""]"
